PreviousPredictedApogee
630.961
608.555
570.429
633.314
485.614
550.987
631.289
617.803
627.085
601.446
592.377
570.652
597.395
547.331
496.462
721.093
508.874
588.503
613.785
554.484
610.193
570.151
629.526
614.438
525.482
600.069
570.05
575.184
501.462
633.792
631.492
564.618
558.113
601.123
599.438
622.78
587.135
551.34
546.194
619.749
569.477
580.429
568.75
602.912
583.265
570.723
567.718
605.849
554.405
557.525
582.697
585.035
609.375
535.249
614.224
573.627
592.513
605.154
545.646
611.752
563.32
612.323
564.059
582.277
563.696
623.376
558.912
591.936
573.806
566.145
565.58
578.667
585.407
583.158
583.024
572.969
579.432
573.17
578.792
580.502
579.373
580.134
581.085
580.706
575.612
580.302
575.675
581.264
576.811
580.388
582.007
576.698
575.754
575.539
575.483
586.623
574.674
574.381
576.138
573.314
573.667
592.518
575.974
581.151
570.155
568.194
614.346
573.413
568.61
565.375
582.87
575.346
