PreviousPredictedApogee
630.961
608.555
570.429
633.314
585.775
589.812
605.388
606.418
612.086
603.03
603.86
599.209
603.116
591.31
578.791
631.335
582.685
594.525
600.224
592.651
596.056
590.721
606.826
600.138
583.845
596.32
591.436
589.385
572.489
599.171
596.795
584.491
582.212
592.759
591.139
594.676
589.584
583.9
581.098
595.69
583.95
585.013
582.9
590.093
585.044
582.755
581.702
589.683
578.718
578.076
582.175
582.737
586.926
573.033
588.543
580.973
584.398
586.868
577.285
588.747
580.124
589.069
579.84
584.011
579.339
591.127
578.646
585.012
581.57
580.499
578.261
580.802
581.308
580.805
580.84
579.344
580.346
578.9
579.644
579.747
579.602
579.606
579.937
579.92
578.935
579.74
578.841
579.524
578.752
579.269
579.679
578.784
578.448
578.344
578.147
580.069
577.936
577.775
578.012
577.421
576.962
580.538
577.777
578.77
576.84
576.424
584.832
578.047
576.95
576.326
579.805
577.268
